time_ms,x1,y1,x2,y2,score,t1_cs,t1gk_cs,t2_cs,t2gk_cs,ref_cs
61680,264.0,377.5,295.1,451.7,0.99359,0.021771,0.266269,0.399985,0.228396,0.048776
61680,961.3,539.5,1000.7,628.5,0.99248,0.462864,0.017629,0.052444,0.019261,0.038350
61680,979.9,504.8,1013.4,571.5,0.99175,0.069065,0.228996,0.562436,0.210681,0.033720
61680,573.6,416.0,602.9,485.9,0.98679,0.066223,0.307135,0.377815,0.295733,0.091266
61680,129.6,274.8,154.6,335.2,0.97617,0.013433,0.034002,0.010031,0.058337,0.464805
61680,951.2,218.3,974.9,274.1,0.97253,0.022568,0.408415,0.141756,0.605767,0.095724
61680,221.5,221.0,257.4,280.2,0.95199,0.357138,0.017792,0.078596,0.018917,0.056949
61680,740.6,337.7,767.8,388.8,0.93911,0.044735,0.259868,0.454392,0.238760,0.057775
61680,374.2,222.0,393.4,275.5,0.87036,0.012389,0.272857,0.306677,0.318154,0.053357
61680,184.2,282.8,213.1,345.2,0.84742,0.039768,0.206381,0.435265,0.210826,0.071667
61680,1094.4,125.2,1112.4,166.8,0.83820,0.011781,0.074844,0.024680,0.089217,0.052405
61680,194.8,189.9,214.5,227.1,0.78038,0.014855,0.279349,0.351106,0.264463,0.041720
61680,801.5,382.7,820.7,433.7,0.76566,0.345239,0.002135,0.030845,0.000791,0.010633
61680,622.8,32.0,636.3,69.1,0.58103,0.000000,0.000000,0.238084,0.000791,0.000000
61680,1089.8,161.9,1111.2,186.0,0.57784,0.002134,0.039664,0.010072,0.031607,0.009710
61680,1036.3,149.5,1055.1,173.5,0.53835,0.001568,0.005447,0.000000,0.010285,0.053577
61680,999.5,87.1,1022.9,158.2,0.51214,0.006202,0.056849,0.104401,0.027551,0.023521
61680,783.7,90.3,798.1,113.8,0.51075,0.004112,0.315074,0.207447,0.238865,0.072986
61680,192.1,283.2,211.0,329.3,0.47612,0.033372,0.227527,0.249058,0.274188,0.119003
61680,1122.6,163.1,1139.4,188.8,0.44782,0.000398,0.104362,0.199113,0.093795,0.013113
61680,1168.0,143.6,1184.4,173.2,0.36888,0.001501,0.058690,0.022273,0.040065,0.001580
61680,603.6,32.0,616.6,68.1,0.34065,0.000000,0.000000,0.182868,0.000000,0.000000
61680,810.7,96.3,823.9,117.6,0.32715,0.001864,0.036215,0.002241,0.051616,0.003080
61680,1045.5,159.9,1057.4,176.2,0.32060,0.024968,0.031612,0.053740,0.030127,0.031500
61680,796.9,91.3,810.6,113.6,0.30756,0.005538,0.031343,0.008031,0.039955,0.019356
61680,743.1,46.3,775.2,107.0,0.29309,0.017468,0.153198,0.135087,0.113664,0.064007
61680,380.0,221.3,393.2,250.8,0.28160,0.008205,0.214509,0.187897,0.238142,0.056582
61720,260.4,378.7,296.6,452.4,0.99628,0.025120,0.275177,0.400225,0.262147,0.056995
61720,574.6,416.8,608.7,486.1,0.99567,0.081469,0.234721,0.457895,0.183445,0.057412
61720,952.0,535.7,1004.7,628.5,0.99457,0.477819,0.049684,0.099885,0.045969,0.070772
61720,977.5,504.4,1016.0,571.4,0.98748,0.064323,0.210820,0.507244,0.191424,0.032507
61720,800.0,386.0,831.8,438.9,0.98361,0.315511,0.001947,0.067624,0.004830,0.001583
61720,948.6,219.4,970.9,275.0,0.96736,0.020704,0.404026,0.139531,0.579722,0.092252
61720,129.9,277.9,150.7,337.2,0.95844,0.022149,0.029416,0.010964,0.044849,0.463718
61720,751.0,345.7,778.0,408.0,0.95317,0.058196,0.186752,0.416435,0.150443,0.010972
61720,181.4,284.5,215.6,340.0,0.91574,0.089885,0.187472,0.370047,0.169946,0.078724
61720,223.6,223.1,256.7,280.8,0.90167,0.323490,0.020052,0.070228,0.022235,0.047822
61720,192.2,192.0,211.5,244.0,0.90017,0.023422,0.347219,0.303971,0.349632,0.085163
61720,376.2,224.6,392.8,264.3,0.83732,0.013435,0.289858,0.282290,0.280526,0.041654
61720,778.4,91.1,792.4,115.8,0.66038,0.005052,0.331922,0.181191,0.274989,0.054392
61720,918.7,94.1,936.1,129.1,0.56608,0.011304,0.114808,0.054113,0.079576,0.038728
