time_ms,x1,y1,x2,y2,score,t1_cs,t1gk_cs,t2_cs,t2gk_cs,ref_cs
4032000,568.4,483.4,614.2,595.9,0.99884,0.368557,0.104524,0.645084,0.029702,0.125232
4032000,87.5,319.0,130.5,419.0,0.99785,0.367658,0.095781,0.608646,0.047118,0.136219
4032000,1054.9,284.7,1085.3,363.9,0.99742,0.414145,0.076000,0.611986,0.038085,0.137257
4032000,420.3,325.8,450.4,421.0,0.99704,0.609597,0.060973,0.430745,0.041291,0.127454
4032000,966.7,309.6,993.1,395.7,0.99532,0.449544,0.044149,0.395170,0.033418,0.100743
4032000,745.7,201.6,769.1,273.1,0.99298,0.379013,0.067318,0.228433,0.041278,0.086756
4032000,567.1,246.6,593.2,322.2,0.99048,0.373542,0.083765,0.585060,0.048571,0.147989
4032000,245.4,236.5,270.1,312.8,0.98858,0.298781,0.163754,0.280836,0.092462,0.128709
4032000,124.7,176.6,157.9,241.3,0.97000,0.026525,0.171257,0.025737,0.108037,0.041894
4032000,1230.5,306.4,1264.3,389.3,0.96648,0.057216,0.130857,0.113745,0.061002,0.445298
4032000,927.5,192.8,958.3,255.6,0.95746,0.266303,0.068251,0.199397,0.063544,0.070231
4032000,211.2,144.5,229.5,186.6,0.90879,0.130161,0.044293,0.132878,0.021012,0.154005
4032000,646.9,133.2,675.4,186.2,0.87048,0.152757,0.083061,0.109186,0.066484,0.101309
4032000,317.3,146.2,337.2,187.2,0.82864,0.085288,0.132821,0.106901,0.058290,0.091578
4032000,818.7,128.8,840.5,183.8,0.82363,0.092146,0.079112,0.064253,0.062323,0.028628
4032000,665.2,189.2,683.5,244.3,0.80222,0.089453,0.026785,0.045685,0.017892,0.011309
4032000,93.7,142.4,114.2,187.3,0.64376,0.052747,0.023214,0.036313,0.018798,0.169406
4032000,199.9,202.6,220.8,221.9,0.56123,0.186728,0.006237,0.062706,0.000000,0.000000
4032000,991.3,137.3,1012.6,181.5,0.54452,0.171747,0.068014,0.112816,0.027521,0.033179
4032000,13.5,126.5,45.7,185.1,0.44680,0.211182,0.001040,0.157939,0.000000,0.000000
4032000,1166.3,120.4,1185.5,141.1,0.40818,0.015932,0.000000,0.009456,0.000000,0.000000
4032000,1270.0,242.0,1280.0,289.3,0.38343,0.178216,0.005254,0.146029,0.001326,0.040787
4032000,1132.8,119.6,1155.9,177.7,0.36673,0.009711,0.005198,0.008456,0.000000,0.000753
4032000,1187.8,130.1,1215.4,179.9,0.33227,0.091517,0.065552,0.046120,0.047847,0.023737
4032000,646.1,98.4,691.9,144.5,0.28012,0.038208,0.000000,0.017619,0.000000,0.000000
4032000,484.7,142.8,503.0,186.3,0.27071,0.068305,0.091769,0.023513,0.049142,0.058214
4032040,84.5,320.2,131.9,417.0,0.99849,0.351063,0.110300,0.618482,0.055768,0.130679
4032040,564.6,483.1,609.8,595.1,0.99838,0.355726,0.105552,0.618809,0.033279,0.125346
4032040,1054.8,286.0,1088.3,365.7,0.99760,0.438104,0.081564,0.604433,0.033531,0.119393
4032040,962.1,309.8,992.9,395.1,0.99728,0.420892,0.044732,0.388451,0.037208,0.083406
4032040,420.1,326.3,451.6,420.5,0.99578,0.598879,0.068085,0.402369,0.033340,0.113036
4032040,248.6,236.0,275.3,312.0,0.99500,0.309282,0.159056,0.311195,0.091040,0.117017
4032040,749.5,201.1,772.1,273.5,0.99357,0.404312,0.091356,0.249495,0.051887,0.088249
4032040,564.9,247.1,592.9,322.0,0.98992,0.372547,0.076549,0.581038,0.040782,0.146769
4032040,125.8,174.8,155.2,241.2,0.98112,0.037113,0.163632,0.032013,0.102394,0.041566
4032040,927.8,192.0,958.2,253.0,0.96231,0.219655,0.068441,0.176737,0.037101,0.047942
4032040,1233.2,305.7,1264.0,390.4,0.95597,0.064201,0.123951,0.116024,0.060466,0.432556
4032040,317.3,143.6,338.4,188.1,0.91340,0.127352,0.124927,0.079710,0.062046,0.117223
4032040,648.5,134.2,677.1,185.7,0.91025,0.162033,0.080973,0.124592,0.066124,0.066139
4032040,213.5,146.1,231.1,185.8,0.88803,0.144015,0.040753,0.150206,0.026309,0.193206
4032040,819.5,132.1,841.5,183.4,0.84845,0.099820,0.057672,0.075769,0.045998,0.037334
4032040,1263.0,239.2,1279.9,315.2,0.69677,0.398052,0.018775,0.312436,0.019679,0.053393
4032040,93.6,142.8,115.1,186.9,0.59725,0.057998,0.022930,0.037319,0.021359,0.214776
4032040,664.9,191.7,682.3,245.6,0.57351,0.065007,0.017967,0.035928,0.010966,0.020155
4032040,199.3,202.7,219.5,220.7,0.56787,0.157029,0.002079,0.050459,0.000000,0.000000
4032040,991.9,137.1,1013.0,181.2,0.47484,0.132503,0.054896,0.095755,0.023765,0.040600
4032040,1132.7,121.1,1157.1,177.8,0.42434,0.019138,0.010355,0.014432,0.010039,0.000753
4032040,485.7,143.1,505.1,186.2,0.42081,0.091043,0.067719,0.047867,0.049709,0.056733
4032040,933.1,197.4,955.6,237.6,0.40382,0.137928,0.031033,0.072151,0.011675,0.013493
4032040,1190.0,130.0,1217.8,179.9,0.34654,0.132928,0.078298,0.081988,0.036509,0.030480
4032040,649.6,93.1,694.7,138.9,0.26880,0.042005,0.000000,0.024895,0.000000,0.000000
4032040,395.0,142.5,435.3,188.8,0.25649,0.213297,0.015842,0.146832,0.000000,0.009036
4032080,563.7,482.7,606.8,595.1,0.99840,0.362877,0.107228,0.633775,0.028052,0.111518
4032080,78.2,322.0,130.4,417.9,0.99768,0.361269,0.096232,0.628520,0.048468,0.132808
4032080,418.6,326.0,452.5,421.1,0.99703,0.625308,0.053492,0.425553,0.033061,0.111202
4032080,1053.5,285.9,1085.4,361.7,0.99698,0.448576,0.081947,0.575202,0.035584,0.121739
4032080,953.3,311.4,993.4,396.9,0.99607,0.515588,0.050504,0.437376,0.038172,0.098670
4032080,751.7,202.0,774.9,272.9,0.99454,0.389261,0.078147,0.237850,0.049956,0.079944
4032080,251.6,236.0,287.0,314.0,0.99015,0.303927,0.137189,0.315728,0.061834,0.101140
4032080,562.9,250.6,591.3,322.2,0.97909,0.326558,0.063392,0.550621,0.024760,0.122047
4032080,927.3,192.1,958.6,254.0,0.97314,0.221535,0.053091,0.184807,0.047485,0.041876
4032080,124.8,174.5,152.0,240.3,0.96301,0.037064,0.163389,0.021824,0.092500,0.022174
4032080,1233.8,304.4,1262.9,389.7,0.95224,0.035435,0.119189,0.096135,0.054139,0.420395
4032080,1259.5,241.1,1280.0,318.6,0.90990,0.552124,0.021446,0.363716,0.008692,0.057236
4032080,214.1,145.7,231.3,185.4,0.89358,0.166503,0.039293,0.133541,0.023816,0.163684
4032080,317.9,144.7,339.3,187.7,0.87676,0.114861,0.125041,0.100563,0.053687,0.091063
4032080,648.5,134.7,679.9,185.2,0.86351,0.160333,0.080959,0.112504,0.056460,0.066809
4032080,819.4,129.7,842.2,184.0,0.83157,0.089827,0.060954,0.067744,0.043715,0.024813
4032080,662.4,189.1,680.2,244.7,0.82177,0.069119,0.017893,0.037854,0.020108,0.012801
4032080,196.7,203.2,219.7,221.3,0.77254,0.174955,0.002079,0.063465,0.000000,0.000000
4032080,93.7,142.0,115.8,187.0,0.65403,0.082874,0.026019,0.053244,0.010035,0.171784
4032080,991.9,136.9,1014.2,181.7,0.53669,0.178192,0.034816,0.111790,0.019570,0.046880
4032080,485.8,142.7,506.0,186.1,0.40296,0.084750,0.060371,0.028506,0.038339,0.026389
4032080,1134.4,121.6,1158.6,178.2,0.36326,0.015835,0.007455,0.011090,0.011578,0.000753
4032080,395.4,142.6,434.4,188.6,0.29356,0.187000,0.016940,0.136070,0.000760,0.005271
4032080,872.6,93.4,907.1,145.4,0.27103,0.110356,0.001040,0.074776,0.000000,0.000000
4032080,1168.5,120.3,1188.4,141.1,0.26682,0.005221,0.000000,0.000564,0.000000,0.000000
4032080,1190.5,129.7,1218.5,180.4,0.25403,0.080438,0.086449,0.055848,0.046757,0.022122
4032120,560.4,483.5,606.1,598.0,0.99894,0.361905,0.104474,0.615920,0.033254,0.130941
4032120,1053.4,286.3,1085.8,364.4,0.99803,0.451556,0.088873,0.608025,0.043904,0.125325
