time_ms,x1,y1,x2,y2,score,t1_cs,t1gk_cs,t2_cs,t2gk_cs,ref_cs
526000,729.2,446.8,755.1,517.5,0.99481,0.050427,0.023347,0.136525,0.060812,0.407846
526000,277.3,482.2,328.3,535.4,0.99215,0.288362,0.000000,0.144610,0.096806,0.015148
526000,1003.4,455.7,1025.7,518.0,0.99196,0.534970,0.009387,0.223809,0.050475,0.022482
526000,872.8,419.4,895.0,483.4,0.99128,0.206871,0.001877,0.379367,0.139708,0.067930
526000,1196.0,473.2,1221.7,542.8,0.98589,0.206928,0.003037,0.418800,0.058537,0.125749
526000,368.3,456.4,399.9,517.5,0.97888,0.253715,0.000000,0.337910,0.137266,0.068228
526000,587.5,369.2,609.0,427.4,0.97841,0.315455,0.002817,0.418352,0.219232,0.056170
526000,96.7,671.7,124.3,718.7,0.95471,0.493610,0.008292,0.363087,0.041667,0.080030
526000,513.0,217.7,527.8,259.6,0.94971,0.021207,0.099833,0.014748,0.012186,0.197373
526000,987.8,293.5,1010.6,340.7,0.94789,0.111955,0.000626,0.135103,0.205899,0.017891
526000,579.4,307.6,608.8,359.2,0.94291,0.019842,0.004935,0.019782,0.279457,0.007194
526000,1119.5,374.8,1137.4,431.2,0.92506,0.340136,0.000000,0.318302,0.132092,0.041302
526000,22.2,588.7,64.0,687.7,0.90130,0.571249,0.009650,0.330851,0.096999,0.084152
526000,1083.6,145.5,1099.8,170.1,0.89831,0.006360,0.000000,0.051234,0.000000,0.152621
526000,1153.7,318.1,1179.8,359.9,0.86427,0.388506,0.008135,0.203734,0.181073,0.048973
526000,700.3,339.7,727.3,392.2,0.84474,0.271211,0.003546,0.315621,0.182969,0.057101
526000,26.9,376.7,49.4,404.0,0.81142,0.289050,0.003755,0.144453,0.006250,0.037335
526000,123.6,300.6,139.1,349.7,0.78638,0.034452,0.054468,0.077809,0.027187,0.154518
526000,970.1,146.5,983.8,167.1,0.76241,0.022132,0.011264,0.103762,0.000000,0.098022
526000,660.3,355.3,681.9,397.8,0.74790,0.149677,0.005006,0.087870,0.301814,0.018585
526000,493.7,218.9,508.3,263.5,0.74756,0.094985,0.035871,0.151672,0.028015,0.174023
526000,1054.4,145.0,1067.8,167.7,0.74392,0.027474,0.000000,0.135995,0.000000,0.055755
526000,854.9,299.9,876.0,346.5,0.72477,0.310048,0.011264,0.190185,0.166999,0.037470
526000,381.2,237.3,400.3,278.7,0.66699,0.024861,0.000000,0.064983,0.000000,0.015288
526000,949.2,148.1,962.3,169.4,0.66178,0.032562,0.000000,0.121726,0.000000,0.046163
526000,792.6,317.5,814.6,358.6,0.60457,0.254765,0.000000,0.293888,0.182671,0.031717
526000,391.9,235.8,407.4,277.2,0.59559,0.038710,0.000000,0.053387,0.000000,0.017686
526000,742.9,166.3,758.3,216.3,0.58887,0.049053,0.060966,0.084140,0.042855,0.117097
526000,910.2,149.2,924.6,176.6,0.56134,0.021877,0.003129,0.102753,0.000000,0.193390
526000,460.1,145.0,502.1,195.8,0.52945,0.221900,0.000626,0.162656,0.003131,0.145752
526000,364.7,248.7,383.9,286.4,0.50242,0.305977,0.000000,0.128331,0.000000,0.027601
526000,711.9,175.7,724.4,214.6,0.45959,0.099682,0.042244,0.098426,0.051126,0.191449
526000,652.1,155.6,681.7,218.8,0.38288,0.098934,0.000000,0.200013,0.000000,0.019784
526000,264.4,302.5,297.6,342.7,0.37661,0.268466,0.000000,0.127309,0.000000,0.033927
526000,56.9,373.3,76.2,397.6,0.35401,0.494713,0.000000,0.216955,0.000000,0.044633
526000,142.5,300.2,159.8,345.0,0.35389,0.004492,0.036492,0.003105,0.004237,0.096604
526000,139.2,301.9,164.6,371.0,0.31215,0.126204,0.046083,0.102648,0.050656,0.159476
