time_ms,x1,y1,x2,y2,score,t1_cs,t1gk_cs,t2_cs,t2gk_cs,ref_cs
526000,729.2,446.8,755.1,517.5,0.99481,0.052111,0.023147,0.143293,0.062063,0.463233
526000,277.3,482.2,328.3,535.4,0.99215,0.354611,0.002457,0.175044,0.103377,0.026017
526000,1003.4,455.7,1025.7,518.0,0.99196,0.597770,0.007150,0.289278,0.071549,0.031854
526000,872.8,419.4,895.0,483.4,0.99128,0.216999,0.007081,0.416836,0.145445,0.085612
526000,1196.0,473.2,1221.7,542.8,0.98589,0.230641,0.003640,0.486107,0.061822,0.140768
526000,368.3,456.4,399.9,517.5,0.97888,0.274616,0.000000,0.398037,0.149142,0.078020
526000,587.5,369.2,609.0,427.4,0.97841,0.357990,0.001877,0.399979,0.182066,0.065603
526000,96.7,671.7,124.3,718.7,0.95471,0.508478,0.005319,0.434379,0.044154,0.082086
526000,513.0,217.7,527.8,259.6,0.94971,0.018684,0.119003,0.026988,0.025368,0.198918
526000,987.8,293.5,1010.6,340.7,0.94789,0.135086,0.001541,0.134244,0.177949,0.030699
526000,579.4,307.6,608.8,359.2,0.94291,0.009929,0.010427,0.011345,0.321207,0.025556
526000,1119.5,374.8,1137.4,431.2,0.92506,0.381331,0.000000,0.343192,0.138845,0.053989
526000,22.2,588.7,64.0,687.7,0.90130,0.607396,0.005632,0.414343,0.100858,0.090542
526000,1083.6,145.5,1099.8,170.1,0.89831,0.008070,0.000000,0.073444,0.000000,0.166812
526000,1153.7,318.1,1179.8,359.9,0.86427,0.451724,0.012053,0.235101,0.202951,0.055557
526000,700.3,339.7,727.3,392.2,0.84474,0.316462,0.001877,0.310974,0.158204,0.053726
526000,26.9,376.7,49.4,404.0,0.81142,0.271348,0.001877,0.195846,0.006250,0.040915
526000,123.6,300.6,139.1,349.7,0.78638,0.034591,0.077168,0.086634,0.037551,0.208044
526000,970.1,146.5,983.8,167.1,0.76242,0.024577,0.012389,0.109572,0.000000,0.110487
526000,660.3,355.3,681.9,397.8,0.74790,0.168483,0.009874,0.103631,0.311660,0.035290
526000,493.7,218.9,508.3,263.5,0.74756,0.097948,0.043080,0.186667,0.033395,0.185159
526000,1054.4,145.0,1067.8,167.7,0.74392,0.029435,0.000000,0.134798,0.000279,0.055389
526000,854.9,299.9,876.0,346.5,0.72477,0.351547,0.012389,0.218376,0.213443,0.046499
526000,381.2,237.3,400.3,278.7,0.66699,0.031635,0.000000,0.100659,0.000000,0.019759
526000,949.2,148.1,962.3,169.4,0.66177,0.036803,0.000000,0.106700,0.000000,0.042110
526000,792.6,317.5,814.6,358.6,0.60457,0.306801,0.000000,0.308274,0.168804,0.032487
526000,391.9,235.8,407.4,277.2,0.59559,0.038570,0.000000,0.080543,0.000000,0.018434
526000,742.9,166.3,758.3,216.3,0.58887,0.047935,0.076171,0.086930,0.056351,0.123829
