time_ms,x1,y1,x2,y2,score,t1_cs,t1gk_cs,t2_cs,t2gk_cs,ref_cs
77000,80.1,591.2,133.0,690.0,0.99512,1.461324,0.215574,3.538580,0.265673,0.692661
77000,1130.0,411.1,1170.8,488.0,0.98751,3.447308,0.336368,0.990069,0.367436,0.955899
77000,292.2,362.9,325.0,443.4,0.98330,1.205418,0.203215,3.220581,0.441990,0.486466
77000,548.5,293.5,583.3,360.1,0.98183,0.885391,0.326126,3.362117,0.602694,0.541072
77000,990.9,263.5,1028.5,330.4,0.97292,3.376864,0.269459,1.070439,0.393009,0.711613
77000,847.2,415.0,918.0,472.2,0.96708,1.479766,0.339970,3.170985,0.251497,1.168689
77000,452.2,382.3,490.7,456.8,0.96266,4.076809,0.459856,1.325639,0.833455,1.629072
77000,374.0,309.6,403.7,382.9,0.96199,3.181004,0.217761,1.048947,0.430407,0.876720
77000,781.2,192.4,802.6,248.3,0.95670,1.106323,0.336228,0.433808,0.220351,3.260351
77000,632.0,457.1,688.9,520.7,0.95176,3.364640,0.319027,1.259500,0.495015,1.237718
77000,756.4,100.1,776.4,146.9,0.93530,2.297996,0.207099,0.961276,0.250758,0.391502
77000,690.7,55.6,708.8,95.5,0.93429,0.113013,0.088717,1.922643,0.142291,0.037374
77000,296.8,200.2,319.8,250.1,0.91557,3.362108,0.150946,1.159223,0.467399,0.700250
77000,711.0,299.1,747.7,355.0,0.91415,3.857361,0.327990,1.268077,0.511679,0.800992
77000,1138.7,574.5,1176.5,664.5,0.91204,2.062893,0.260375,4.191504,0.566392,0.864034
77000,893.8,181.2,914.5,223.1,0.81173,2.762608,0.268049,0.901104,0.203767,0.517097
77000,571.2,86.9,592.5,132.6,0.77119,0.375011,0.124828,1.582445,0.136687,0.135781
77000,596.0,64.1,611.6,93.5,0.73344,1.854280,0.211247,0.847385,0.147225,0.388231
77000,961.5,223.4,981.9,251.0,0.72232,0.591901,0.259876,1.909737,0.249246,0.244411
77000,97.2,115.4,115.7,158.4,0.57291,0.036822,0.000600,1.448957,0.064620,0.000000
77000,465.0,383.4,490.6,432.3,0.45899,3.931718,0.489008,1.184718,0.840262,1.677191
77000,949.1,221.4,982.8,276.6,0.42693,0.603264,0.277324,2.237508,0.360296,0.341224
77000,958.2,240.0,976.4,263.2,0.26231,0.262358,0.019200,1.624062,0.246708,0.099398
77040,74.5,590.0,128.3,688.3,0.99557,1.668888,0.294629,3.676382,0.361641,1.159357
77040,1117.2,409.9,1160.3,487.2,0.99222,3.047323,0.398051,1.072518,0.413543,1.093700
77040,620.8,457.0,686.9,527.3,0.98832,3.288454,0.418430,1.226293,0.527078,1.381241
77040,285.5,360.8,319.3,442.5,0.98329,1.399058,0.215129,3.405463,0.474159,0.651661
77040,367.5,310.5,398.7,385.7,0.97952,3.433594,0.454445,1.120928,0.589017,1.055997
77040,537.0,293.1,573.4,362.1,0.97783,0.693450,0.279629,3.322654,0.362200,0.350521
77040,286.9,200.1,310.9,255.1,0.96601,3.567694,0.166445,1.149787,0.465027,0.630809
77040,978.5,265.1,1016.5,329.9,0.96599,3.770955,0.326576,1.202152,0.398711,0.725915
77040,441.0,382.6,485.0,457.1,0.95922,3.914460,0.469435,1.283576,0.729895,1.714597
77040,749.3,99.7,767.2,140.5,0.91185,1.728261,0.231190,1.022871,0.202059,0.373453
77040,771.4,195.2,793.5,247.3,0.91104,1.143221,0.333734,0.586194,0.280952,3.588022
77040,707.3,299.0,737.7,349.0,0.91086,3.904513,0.236020,1.208776,0.449360,0.660972
77040,84.6,116.4,107.0,161.1,0.88928,0.210947,0.125353,2.326131,0.107772,0.078717
77040,1129.5,574.3,1165.1,661.5,0.86498,1.981865,0.280413,3.990938,0.472385,0.945959
77040,837.9,413.5,905.5,473.0,0.86180,1.310079,0.243609,2.799161,0.381299,1.055056
77040,680.4,57.1,697.7,96.5,0.84926,0.126462,0.108036,2.531776,0.110290,0.047418
77040,580.8,64.4,601.7,107.1,0.79373,2.566029,0.290804,1.137235,0.202283,0.559288
77040,559.2,92.7,582.3,133.8,0.78209,0.046494,0.002400,1.599165,0.057131,0.000000
77040,884.0,183.9,903.8,221.9,0.77390,2.806795,0.272743,1.027390,0.200224,0.583305
77040,949.9,222.6,969.5,250.4,0.73502,0.858767,0.286419,1.631452,0.333569,0.437214
77040,944.7,234.3,965.4,266.4,0.65844,0.255169,0.031801,1.622079,0.238365,0.033339
77040,876.1,184.4,904.0,241.3,0.46722,2.960323,0.289963,1.184284,0.218654,0.610658
77080,66.9,589.7,124.6,688.9,0.99557,1.501140,0.287726,3.450011,0.266996,0.816484
77080,1107.2,409.6,1150.6,489.5,0.98767,2.931237,0.381990,1.141020,0.409199,0.917595
77080,276.4,360.0,319.3,440.8,0.98278,1.312391,0.220654,3.408875,0.472811,0.663834
77080,276.5,199.5,302.1,257.3,0.98236,3.524305,0.207020,1.216848,0.558610,0.757117
77080,1121.3,572.9,1153.3,658.1,0.98054,1.640811,0.366902,3.856976,0.530808,1.135778
77080,432.1,381.8,480.2,458.9,0.97979,4.129276,0.582613,1.325945,0.754214,1.666527
77080,528.4,292.5,565.7,362.5,0.97803,0.703497,0.331813,3.432987,0.388521,0.459185
77080,359.2,309.6,388.1,385.7,0.97798,3.176245,0.381904,1.145975,0.568295,1.037643
77080,617.7,457.0,675.4,519.1,0.96378,2.917416,0.291943,1.148530,0.475757,1.202532
77080,757.9,194.2,782.3,248.5,0.95896,1.231166,0.330165,0.565069,0.269449,3.493006
77080,862.3,183.7,894.4,241.2,0.95089,2.767165,0.270009,1.170185,0.192483,0.674171
77080,685.6,300.1,731.0,357.4,0.93990,3.478762,0.290789,1.223473,0.388447,0.855807
77080,971.0,265.2,1004.0,328.5,0.92770,3.524582,0.236339,1.158136,0.392288,0.650421
77080,72.4,116.5,98.9,163.0,0.90317,0.305866,0.160522,2.135165,0.131845,0.095771
77080,553.0,90.8,573.6,130.2,0.89480,0.520931,0.047560,2.011366,0.238509,0.220325
77080,1099.5,642.2,1136.2,720.0,0.87664,1.022816,0.170290,0.491846,0.012079,0.138443
77080,571.0,65.2,589.7,107.8,0.83938,2.592284,0.290119,1.176826,0.268455,0.556007
77080,737.4,100.0,756.3,141.7,0.83867,1.598274,0.240553,1.073322,0.160616,0.255077
77080,938.5,221.6,958.0,253.7,0.82448,0.622511,0.213415,2.038536,0.367175,0.314896
77080,671.2,57.4,687.0,96.3,0.80643,0.088982,0.064273,2.597929,0.133352,0.049244
77080,927.6,220.2,959.9,275.7,0.78951,0.741978,0.238523,2.166029,0.385781,0.434021
77080,933.2,239.1,951.2,265.3,0.59069,0.263446,0.034766,1.963358,0.310162,0.098842
77080,701.2,300.2,730.7,339.1,0.41143,3.231955,0.276765,1.146084,0.423828,0.768162
77080,834.8,412.9,898.5,472.3,0.36832,0.939603,0.199183,2.964453,0.190005,0.541432
77120,61.7,588.7,117.9,686.3,0.99461,1.750608,0.285159,3.691012,0.332035,0.992557
77120,1097.7,410.8,1140.8,496.3,0.99115,3.528216,0.403681,1.037035,0.390851,1.064161
77120,1110.9,570.8,1141.3,656.3,0.98941,1.765919,0.267015,3.928424,0.518372,1.003342
77120,268.1,362.1,310.9,442.9,0.98741,1.232565,0.197940,3.213273,0.494186,0.604816
77120,268.4,200.5,293.3,256.5,0.98248,3.347943,0.225966,1.174606,0.407707,0.632054
77120,352.0,307.1,383.4,387.1,0.98120,3.087210,0.329712,1.187947,0.639340,0.938155
77120,603.1,457.1,669.4,532.8,0.98039,3.029541,0.356398,1.175519,0.494857,1.222007
77120,834.3,413.2,893.9,473.8,0.97628,1.440705,0.326388,3.510486,0.313398,0.737179
77120,520.3,294.1,556.2,363.4,0.97554,0.645977,0.263739,3.368983,0.313604,0.324678
77120,744.0,195.2,772.0,250.8,0.96341,1.286079,0.359719,0.676978,0.235143,3.390064
77120,677.6,298.9,723.7,359.2,0.95843,3.452182,0.359734,1.230567,0.449385,0.782246
77120,423.4,380.8,474.8,457.9,0.95778,3.793110,0.538637,1.160798,0.780087,1.766704
77120,960.9,266.3,994.8,329.9,0.95467,3.637870,0.215972,1.164168,0.369808,0.654719
77120,1085.0,638.9,1121.3,720.0,0.95241,1.046385,0.111145,0.457073,0.011639,0.096203
77120,540.6,91.4,563.8,133.5,0.93722,0.481661,0.136191,2.214021,0.175638,0.257291
77120,62.7,118.0,86.5,163.1,0.91932,0.070432,0.036064,2.196764,0.094698,0.000000
