time_ms,x1,y1,x2,y2,score,t1_cs,t1gk_cs,t2_cs,t2gk_cs,ref_cs
4032000,568.4,483.4,614.2,595.9,0.99884,0.343395,0.104524,0.685737,0.029702,0.125232
4032000,87.5,319.0,130.5,419.0,0.99785,0.333618,0.095781,0.635648,0.047118,0.136219
4032000,1054.9,284.7,1085.3,363.9,0.99742,0.378429,0.076000,0.640523,0.038085,0.137257
4032000,420.3,325.8,450.4,421.0,0.99704,0.630035,0.060973,0.412151,0.041291,0.127454
4032000,966.7,309.6,993.1,395.7,0.99532,0.399883,0.044149,0.381738,0.033418,0.100743
4032000,745.7,201.6,769.1,273.1,0.99298,0.428912,0.067318,0.217984,0.041278,0.086756
4032000,567.1,246.6,593.2,322.2,0.99048,0.349989,0.083765,0.643611,0.048571,0.147989
4032000,245.4,236.5,270.1,312.8,0.98858,0.308702,0.163754,0.254335,0.092462,0.128709
4032000,124.7,176.6,157.9,241.3,0.97000,0.039456,0.171257,0.031170,0.108037,0.041894
4032000,1230.5,306.4,1264.3,389.3,0.96648,0.064529,0.130857,0.113507,0.061002,0.445298
4032000,927.5,192.8,958.3,255.6,0.95746,0.279265,0.068251,0.184806,0.063544,0.070231
4032000,211.2,144.5,229.5,186.6,0.90879,0.158628,0.044293,0.138767,0.021012,0.154005
4032000,646.9,133.2,675.4,186.2,0.87048,0.154121,0.083061,0.101942,0.066484,0.101309
4032000,317.3,146.2,337.2,187.2,0.82864,0.092685,0.132821,0.104280,0.058290,0.091578
4032000,818.7,128.8,840.5,183.8,0.82363,0.100885,0.079112,0.063150,0.062323,0.028628
4032000,665.2,189.2,683.5,244.3,0.80222,0.096783,0.026785,0.035118,0.017892,0.011309
4032000,93.7,142.4,114.2,187.3,0.64376,0.066306,0.023214,0.044448,0.018798,0.169406
4032000,199.9,202.6,220.8,221.9,0.56123,0.214670,0.006237,0.063082,0.000000,0.000000
4032000,991.3,137.3,1012.6,181.5,0.54452,0.169749,0.068014,0.108290,0.027521,0.033179
